####gene WT_1 WT_2 WT_3 CTCF_4 CTCF_5 CTCF_6 Med12_7 Med12_8 Smc1_9 Smc1_10
uc007aqf.1 0 0 0 0 0 0 0 0 0 0
uc007aqg.2 122 295 50 226 181 574 187 559 542 708
uc007aqi.1 0 1 0 0 0 4 0 1 3 3
uc007aqj.1 0 0 0 0 0 0 0 0 0 0
uc007aqk.1 0 0 0 0 0 0 0 0 0 0
uc007aql.1 0 0 0 0 0 0 0 0 0 0
uc007aqm.1 0 0 0 0 0 0 0 0 0 0
uc007aqn.1 0 0 0 0 0 0 0 0 0 0
uc007aqo.1 0 0 0 0 0 0 0 0 0 0
uc007aqp.1 1 1 0 0 1 1 1 0 0 0
uc007aqq.2 1 0 0 0 1 2 1 0 6 0
uc007aqr.2 0 0 0 0 0 0 0 0 0 0
uc007aqs.2 0 0 0 0 1 1 4 1 3 3
uc007aqu.2 1 0 0 0 0 0 0 0 0 1
uc007aqv.2 7 3 1 0 0 0 0 18 4 12
uc007aqw.1 2350 5028 824 1195 865 2642 1205 4515 3825 5681
uc007aqx.1 1205 2309 360 667 473 1385 657 1686 2124 3193
uc007aqy.1 0 1 0 0 0 0 1 7 2 0
uc007aqz.1 6 9 3 6 1 8 3 8 1 6
uc007ara.1 0 0 0 0 0 0 0 0 0 0
uc007arb.1 0 0 0 0 0 0 0 0 0 0
uc007arc.1 0 0 0 0 0 0 0 0 0 0
uc007ard.1 2148 5025 1014 1299 445 2419 432 3893 2566 4710
uc007are.1 0 0 0 0 0 0 0 0 0 0
uc007arf.1 0 0 0 0 0 0 0 0 0 0
uc007arh.2 0 0 0 0 0 0 0 0 0 0
uc007ari.1 60 98 21 103 61 207 11 168 60 133
uc007arj.1 2 4 0 0 0 3 0 4 2 10
uc007ark.1 0 2 0 1 0 3 0 4 4 3
uc007arl.2 21 41 9 25 6 55 7 91 68 128
uc007arm.1 0 0 0 0 0 0 0 0 0 0
uc007arn.1 0 0 0 0 0 0 0 0 0 0
uc007aro.2 1046 2354 396 617 174 1444 178 2352 2000 4277
uc007arp.1 20 19 5 5 4 8 11 11 10 16
uc007arq.1 0 0 0 0 0 0 0 0 0 0
uc007arr.2 0 0 0 0 0 0 0 0 0 0
uc007art.2 0 0 0 0 0 0 0 0 0 0
uc007aru.2 0 0 0 0 0 0 0 0 0 0
uc007arv.2 0 0 0 0 0 0 0 0 0 0
uc007arw.1 0 0 0 0 0 0 0 0 0 0
uc007arx.2 0 3 1 3 2 9 0 1 1 4
uc007ary.1 0 1 0 0 0 1 0 2 0 3
uc007arz.1 0 1 0 0 0 1 0 0 2 6
uc007asa.1 0 0 0 0 0 0 0 0 0 0
uc007asb.1 0 0 0 0 0 0 0 0 0 0
uc007asc.1 0 0 0 0 0 1 0 2 0 0
uc007asd.1 0 0 0 0 0 0 0 0 0 0
uc007ase.1 0 0 0 0 0 0 0 0 0 0
uc007asf.1 0 0 0 0 0 0 0 0 0 0
